time,x,y,psi,speed,curvature
2.92,8.37947,0.260219,0.0303243,5.01567,-0.000256472
2.93,8.42963,0.26174,0.0303114,5.01567,-0.000257971
2.94,8.47979,0.26326,0.0302984,5.01567,-0.00025947
2.95,8.52994,0.26478,0.0302854,5.01567,-0.000260968
2.96,8.5801,0.266299,0.0302723,5.01567,-0.000262466
2.97,8.63026,0.267818,0.030259,5.01567,-0.000263963
2.98,8.68041,0.269336,0.0302458,5.01567,-0.000265459
2.99,8.73057,0.270853,0.0302324,5.01567,-0.000266955
3,8.78073,0.272369,0.030219,5.01567,-0.00026845
3.01,8.83088,0.273885,0.0302055,5.01567,-0.000269944
3.02,8.88104,0.2754,0.0301919,5.01567,-0.000271438
3.03,8.9312,0.276915,0.0301782,5.01567,-0.000272931
3.04,8.98135,0.278429,0.0301645,5.01567,-0.000274423
3.05,9.03151,0.279942,0.0301507,5.01567,-0.000275915
3.06,9.08167,0.281454,0.0301368,5.01567,-0.000277406
3.07,9.13182,0.282966,0.0301228,5.01567,-0.000278896
3.08,9.18198,0.284477,0.0301088,5.01567,-0.000280386
3.09,9.23214,0.285987,0.0300947,5.01567,-0.000281874
3.1,9.28229,0.287496,0.0300805,5.01567,-0.000283363
3.11,9.33245,0.289005,0.0300663,5.01567,-0.00028485
3.12,9.38261,0.290513,0.0300519,5.01567,-0.000286337
3.13,9.43276,0.292021,0.0300375,5.01567,-0.000287823
3.14,9.48292,0.293527,0.0300231,5.01567,-0.000289308
3.15,9.53308,0.295033,0.0300085,5.01567,-0.000290793
3.16,9.58323,0.296539,0.0299939,5.01567,-0.000292277
3.17,9.63339,0.298043,0.0299792,5.01567,-0.00029376
3.18,9.68355,0.299547,0.0299644,5.01567,-0.000295243
3.19,9.7337,0.30105,0.0299495,5.01567,-0.000296725
3.2,9.78386,0.302552,0.0299346,5.01567,-0.000298206
3.21,9.83402,0.304054,0.0299196,5.01567,-0.000299686
3.22,9.88417,0.305554,0.0299045,5.01567,-0.000301166
3.23,9.93433,0.307054,0.0298894,5.01567,-0.000302644
3.24,9.98449,0.308553,0.0298742,5.01567,-0.000304123
3.25,10.0346,0.310052,0.0298589,5.01567,-0.0003056
3.26,10.0848,0.31155,0.0298435,5.01566,-0.000307077
3.27,10.135,0.313046,0.029828,5.01566,-0.000308552
3.28,10.1851,0.314543,0.0298125,5.01566,-0.000310027
3.29,10.2353,0.316038,0.0297969,5.01566,-0.000311502
3.3,10.2854,0.317533,0.0297813,5.01566,-0.000312975
3.31,10.3356,0.319026,0.0297655,5.01566,-0.000314448
3.32,10.3857,0.320519,0.0297497,5.01566,-0.00031592
3.33,10.4359,0.322011,0.0297338,5.01566,-0.000317391
3.34,10.4861,0.323503,0.0297179,5.01566,-0.000318862
3.35,10.5362,0.324993,0.0297018,5.01566,-0.000320331
3.36,10.5864,0.326483,0.0296857,5.01566,-0.0003218
3.37,10.6365,0.327972,0.0296695,5.01566,-0.000323268
3.38,10.6867,0.32946,0.0296533,5.01566,-0.000324736
3.39,10.7368,0.330948,0.0296369,5.01566,-0.000326202
3.4,10.787,0.332434,0.0296205,5.01566,-0.000327668
3.41,10.8371,0.33392,0.029604,5.01566,-0.000329133
3.42,10.8873,0.335405,0.0295875,5.01566,-0.000330597
3.43,10.9375,0.336889,0.0295709,5.01566,-0.00033206
3.44,10.9876,0.338372,0.0295542,5.01566,-0.000333522
3.45,11.0378,0.339854,0.0295374,5.01566,-0.000334984
3.46,11.0879,0.341336,0.0295206,5.01566,-0.000336445
3.47,11.1381,0.342816,0.0295036,5.01566,-0.000337905
3.48,11.1882,0.344296,0.0294866,5.01566,-0.000339364
3.49,11.2384,0.345775,0.0294696,5.01566,-0.000340822
3.5,11.2886,0.347253,0.0294524,5.01566,-0.00034228
3.51,11.3387,0.348731,0.0294352,5.01566,-0.000343736
3.52,11.3889,0.350207,0.0294179,5.01565,-0.000345192
3.53,11.439,0.351682,0.0294006,5.01565,-0.000346647
3.54,11.4892,0.353157,0.0293832,5.01565,-0.000348101
3.55,11.5393,0.354631,0.0293656,5.01565,-0.000349554
3.56,11.5895,0.356104,0.0293481,5.01565,-0.000351006
3.57,11.6397,0.357576,0.0293304,5.01565,-0.000352458
3.58,11.6898,0.359047,0.0293127,5.01565,-0.000353908
3.59,11.74,0.360517,0.0292949,5.01565,-0.000355358
3.6,11.7901,0.361986,0.029277,5.01565,-0.000356807
3.61,11.8403,0.363455,0.0292591,5.01565,-0.000358255
3.62,11.8904,0.364922,0.0292411,5.01565,-0.000359702
3.63,11.9406,0.366389,0.029223,5.01565,-0.000361148
3.64,11.9908,0.367854,0.0292048,5.01565,-0.000362593
3.65,12.0409,0.369319,0.0291866,5.01565,-0.000364038
3.66,12.0911,0.370783,0.0291683,5.01565,-0.000365481
3.67,12.1412,0.372246,0.0291499,5.01565,-0.000366924
3.68,12.1914,0.373708,0.0291315,5.01565,-0.000368366
3.69,12.2415,0.375169,0.029113,5.01565,-0.000369806
3.7,12.2917,0.376629,0.0290944,5.01565,-0.000371246
3.71,12.3418,0.378088,0.0290757,5.01565,-0.000372685
3.72,12.392,0.379547,0.029057,5.01565,-0.000374123
3.73,12.4422,0.381004,0.0290382,5.01565,-0.00037556
3.74,12.4923,0.38246,0.0290193,5.01565,-0.000376997
3.75,12.5425,0.383916,0.0290003,5.01565,-0.000378432
3.76,12.5926,0.38537,0.0289813,5.01565,-0.000379866
3.77,12.6428,0.386824,0.0289622,5.01565,-0.0003813
3.78,12.6929,0.388276,0.028943,5.01564,-0.000382732
3.79,12.7431,0.389728,0.0289238,5.01564,-0.000384164
3.8,12.7933,0.391179,0.0289045,5.01564,-0.000385594
3.81,12.8434,0.392628,0.0288851,5.01564,-0.000387024
3.82,12.8936,0.394077,0.0288656,5.01564,-0.000388453
3.83,12.9437,0.395525,0.0288461,5.01564,-0.00038988
3.84,12.9939,0.396971,0.0288265,5.01564,-0.000391307
3.85,13.044,0.398417,0.0288069,5.01564,-0.000392733
3.86,13.0942,0.399862,0.0287871,5.01564,-0.000394158
3.87,13.1443,0.401306,0.0287673,5.01564,-0.000395581
3.88,13.1945,0.402748,0.0287474,5.01564,-0.000397004
3.89,13.2447,0.40419,0.0287275,5.01564,-0.000398426
3.9,13.2948,0.405631,0.0287074,5.01564,-0.000399847
3.91,13.345,0.407071,0.0286873,5.01564,-0.000401267
3.92,13.3951,0.408509,0.0286672,5.01564,-0.000402686
3.93,13.4453,0.409947,0.0286469,5.01564,-0.000404104
3.94,13.4954,0.411384,0.0286266,5.01564,-0.000405521
3.95,13.5456,0.41282,0.0286062,5.01564,-0.000406937
3.96,13.5958,0.414254,0.0285858,5.01564,-0.000408352
3.97,13.6459,0.415688,0.0285652,5.01564,-0.000409766
3.98,13.6961,0.41712,0.0285446,5.01564,-0.000411178
3.99,13.7462,0.418552,0.028524,5.01564,-0.00041259
4,13.7964,0.419983,0.0285032,5.01564,-0.000414001
4.01,13.8465,0.421412,0.0284824,5.01564,-0.000415411
4.02,13.8967,0.42284,0.0284616,5.01564,-0.00041682
4.03,13.9469,0.424268,0.0284406,5.01563,-0.000418228
4.04,13.997,0.425694,0.0284196,5.01563,-0.000419635
4.05,14.0472,0.427119,0.0283985,5.01563,-0.00042104
4.06,14.0973,0.428544,0.0283773,5.01563,-0.000422445
4.07,14.1475,0.429967,0.0283561,5.01563,-0.000423849
4.08,14.1976,0.431389,0.0283348,5.01563,-0.000425251
4.09,14.2478,0.43281,0.0283134,5.01563,-0.000426653
4.1,14.2979,0.43423,0.028292,5.01563,-0.000428053
4.11,14.3481,0.435649,0.0282705,5.01563,-0.000429453
4.12,14.3983,0.437067,0.0282489,5.01563,-0.000430851
4.13,14.4484,0.438483,0.0282272,5.01563,-0.000432249
4.14,14.4986,0.439899,0.0282055,5.01563,-0.000433645
4.15,14.5487,0.441313,0.0281837,5.01563,-0.00043504
4.16,14.5989,0.442727,0.0281618,5.01563,-0.000436434
4.17,14.649,0.444139,0.0281399,5.01563,-0.000437827
4.18,14.6992,0.44555,0.0281179,5.01563,-0.000439219
4.19,14.7494,0.44696,0.0280958,5.01563,-0.00044061
4.2,14.7995,0.448369,0.0280737,5.01563,-0.000442
4.21,14.8497,0.449777,0.0280515,5.01563,-0.000443389
4.22,14.8998,0.451184,0.0280292,5.01563,-0.000444776
4.23,14.95,0.45259,0.0280068,5.01563,-0.000446163
4.24,15.0001,0.453994,0.0279844,5.01563,-0.000447548
4.25,15.0503,0.455398,0.0279619,5.01563,-0.000448933
4.26,15.1004,0.4568,0.0279394,5.01563,-0.000450316
4.27,15.1506,0.458201,0.0279167,5.01563,-0.000451698
4.28,15.2008,0.459601,0.027894,5.01563,-0.000453079
4.29,15.2509,0.461,0.0278713,5.01562,-0.000454459
4.3,15.3011,0.462398,0.0278484,5.01562,-0.000455837
